date,visitors
1/1/20,262
1/2/20,680
1/3/20,616
1/4/20,352
1/5/20,399
1/6/20,748
1/7/20,884
1/8/20,986
1/9/20,945
1/10/20,801
1/11/20,367
1/12/20,422
1/13/20,841
1/14/20,978
1/15/20,914
1/16/20,955
1/17/20,768
1/18/20,396
1/19/20,421
1/20/20,810
1/21/20,887
1/22/20,912
1/23/20,912
1/24/20,763
1/25/20,327
1/26/20,415
1/27/20,878
1/28/20,949
1/29/20,889
1/30/20,814
1/31/20,746
2/1/20,340
2/2/20,413
2/3/20,870
2/4/20,933
2/5/20,915
2/6/20,878
2/7/20,760
2/8/20,420
2/9/20,466
2/10/20,971
2/11/20,978
2/12/20,939
2/13/20,900
2/14/20,730
2/15/20,375
2/16/20,412
2/17/20,831
2/18/20,903
2/19/20,914
2/20/20,971
2/21/20,787
2/22/20,409
2/23/20,478
2/24/20,880
2/25/20,946
2/26/20,945
2/27/20,910
2/28/20,793
2/29/20,378
3/1/20,467
3/2/20,873
3/3/20,893
3/4/20,943
3/5/20,888
3/6/20,793
3/7/20,414
3/8/20,411
3/9/20,850
3/10/20,936
3/11/20,884
3/12/20,752
3/13/20,709
3/14/20,377
3/15/20,426
3/16/20,749
3/17/20,755
3/18/20,751
3/19/20,763
3/20/20,669
3/21/20,389
3/22/20,493
3/23/20,762
3/24/20,768
3/25/20,770
3/26/20,789
3/27/20,729
3/28/20,501
3/29/20,493
3/30/20,741
3/31/20,782
4/1/20,734
4/2/20,762
4/3/20,681
4/4/20,409
4/5/20,473
4/6/20,763
4/7/20,795
4/8/20,838
4/9/20,684
4/10/20,645
4/11/20,467
4/12/20,443
4/13/20,702
4/14/20,807
4/15/20,798
4/16/20,830
4/17/20,743
4/18/20,503
4/19/20,533
4/20/20,816
4/21/20,821
4/22/20,807
4/23/20,769
4/24/20,740
4/25/20,485
4/26/20,511
4/27/20,838
4/28/20,831
4/29/20,815
4/30/20,766
5/1/20,608
5/2/20,420
5/3/20,509
5/4/20,750
5/5/20,716
5/6/20,674
5/7/20,690
5/8/20,635
5/9/20,394
5/10/20,414
5/11/20,629
5/12/20,704
5/13/20,652
5/14/20,654
5/15/20,649
5/16/20,378
5/17/20,351
5/18/20,661
5/19/20,677
5/20/20,664
5/21/20,603
5/22/20,580
5/23/20,360
5/24/20,426
5/25/20,566
5/26/20,647
5/27/20,665
5/28/20,655
5/29/20,764
5/30/20,460
5/31/20,469
6/1/20,723
6/2/20,797
6/3/20,842
6/4/20,839
6/5/20,682
6/6/20,441
6/7/20,472
6/8/20,783
6/9/20,854
6/10/20,816
6/11/20,857
6/12/20,796
6/13/20,428
6/14/20,490
6/15/20,870
6/16/20,835
6/17/20,818
6/18/20,833
6/19/20,677
6/20/20,383
6/21/20,428
6/22/20,705
6/23/20,829
6/24/20,779
6/25/20,727
6/26/20,663
6/27/20,415
6/28/20,395
6/29/20,801
6/30/20,771
7/1/20,726
7/2/20,707
7/3/20,580
7/4/20,337
7/5/20,396
7/6/20,747
7/7/20,778
7/8/20,797
7/9/20,752
7/10/20,680
7/11/20,346
7/12/20,411
7/13/20,786
7/14/20,779
7/15/20,793
7/16/20,794
7/17/20,738
7/18/20,376
7/19/20,357
7/20/20,808
7/21/20,905
7/22/20,875
7/23/20,797
7/24/20,730
7/25/20,432
7/26/20,398
7/27/20,757
7/28/20,877
7/29/20,869
7/30/20,792
7/31/20,693
8/1/20,324
8/2/20,378
8/3/20,719
8/4/20,793
8/5/20,756
8/6/20,762
8/7/20,607
8/8/20,370
8/9/20,374
8/10/20,682
8/11/20,761
8/12/20,781
8/13/20,744
8/14/20,628
8/15/20,372
8/16/20,356
8/17/20,694
8/18/20,806
8/19/20,731
8/20/20,734
8/21/20,612
8/22/20,326
8/23/20,405
8/24/20,703
8/25/20,698
8/26/20,724
8/27/20,756
8/28/20,598
8/29/20,416
8/30/20,349
8/31/20,699
9/1/20,757
9/2/20,754
9/3/20,722
9/4/20,611
9/5/20,294
9/6/20,354
9/7/20,629
9/8/20,728
9/9/20,747
9/10/20,782
9/11/20,708
9/12/20,396
9/13/20,399
9/14/20,678
9/15/20,716
9/16/20,724
9/17/20,691
9/18/20,629
9/19/20,335
9/20/20,332
9/21/20,691
9/22/20,719
9/23/20,692
9/24/20,736
9/25/20,603
9/26/20,321
9/27/20,398
9/28/20,678
9/29/20,704
9/30/20,604
10/1/20,666
10/2/20,584
10/3/20,346
10/4/20,366
10/5/20,693
10/6/20,687
10/7/20,716
10/8/20,675
10/9/20,610
10/10/20,357
10/11/20,375
10/12/20,617
10/13/20,676
10/14/20,676
10/15/20,697
10/16/20,625
10/17/20,339
10/18/20,353
10/19/20,722
10/20/20,731
10/21/20,715
10/22/20,737
10/23/20,566
10/24/20,351
10/25/20,395
10/26/20,821
10/27/20,783
10/28/20,695
10/29/20,656
10/30/20,643
10/31/20,341
11/1/20,413
11/2/20,640
11/3/20,691
11/4/20,634
11/5/20,639
11/6/20,593
11/7/20,327
11/8/20,353
11/9/20,643
11/10/20,677
11/11/20,658
11/12/20,644
11/13/20,558
11/14/20,304
11/15/20,362
11/16/20,666
11/17/20,753
11/18/20,762
11/19/20,670
11/20/20,575
11/21/20,378
11/22/20,441
11/23/20,656
11/24/20,702
11/25/20,628
11/26/20,575
11/27/20,13
11/28/20,454
11/29/20,478
11/30/20,696
12/1/20,720
12/2/20,764
12/3/20,742
12/4/20,650
12/5/20,358
12/6/20,391
12/7/20,739
12/8/20,710
12/9/20,750
12/10/20,710
12/11/20,604
12/12/20,391
12/13/20,395
12/14/20,727
12/15/20,703
12/16/20,664
12/17/20,689
12/18/20,527
12/19/20,298
12/20/20,334
12/21/20,550
12/22/20,557
12/23/20,499
12/24/20,376
12/25/20,269
12/26/20,221
12/27/20,251
12/28/20,473
12/29/20,507
12/30/20,499
12/31/20,305
1/1/21,198
1/2/21,237
1/3/21,293
1/4/21,560
1/5/21,638
1/6/21,530
1/7/21,548
1/8/21,569
1/9/21,303
1/10/21,302
1/11/21,613
1/12/21,646
1/13/21,685
1/14/21,593
1/15/21,579
1/16/21,267
1/17/21,295
1/18/21,558
1/19/21,690
1/20/21,652
1/21/21,679
1/22/21,641
1/23/21,334
1/24/21,327
1/25/21,667
1/26/21,664
1/27/21,746
1/28/21,708
1/29/21,641
1/30/21,346
1/31/21,418
2/1/21,"1,781"
2/2/21,763
2/3/21,728
2/4/21,782
2/5/21,655
2/6/21,358
2/7/21,404
2/8/21,658
2/9/21,746
2/10/21,785
2/11/21,755
2/12/21,604
2/13/21,350
2/14/21,411
2/15/21,657
2/16/21,690
2/17/21,739
2/18/21,714
2/19/21,670
2/20/21,340
2/21/21,338
2/22/21,695
2/23/21,811
2/24/21,811
2/25/21,826
2/26/21,674
2/27/21,409
2/28/21,751
3/1/21,727
3/2/21,806
3/3/21,801
3/4/21,831
3/5/21,734
3/6/21,396
3/7/21,370
3/8/21,793
3/9/21,876
3/10/21,836
3/11/21,810
3/12/21,811
3/13/21,396
3/14/21,415
3/15/21,837
3/16/21,864
3/17/21,842
3/18/21,914
3/19/21,956
3/20/21,361
3/21/21,410